No.,Article Title,Language,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",Publication Year,Number of Pages
31,"An In-Depth Examination of Artificial Intelligence-Enhanced Cybersecurity in Robotics, Autonomous Systems, and Critical Infrastructures",English,136,3,5,2024,18
32,Bioinspired artificial intelligence based android malware detection and classification for cybersecurity applications,English,23,2,2,2024,11
33,Artificial Intelligence In Cybersecurity Applications,English,25,0,0,2024,6
34,The 4th Workshop on Artificial Intelligence-Enabled Cybersecurity Analytics,English,4,0,0,2024,2
35,"Minitrack Introduction: Cybersecurity in the Age of Artificial Intelligence, AI for Cybersecurity, and Cybersecurity for AI",English,0,0,0,2024,2
36,Ethical reasoning in artificial intelligence: A cybersecurity perspective,English,25,0,1,2025,13
37,Applying artificial intelligence methods to identify selected cybersecurity problems in computer networks,English,10,0,0,2024,6
38,Bridging Artificial Intelligence and Railway Cybersecurity: A Comprehensive Anomaly Detection Review,English,148,0,0,2025,24
39,Cybersecurity alerts and advisories: Leveraging artificial intelligence to secure digital assets,English,37,0,0,2024,7
40,"ARTIFICIAL INTELLIGENCE IN CYBERSECURITY: RIGOROUS CRITICAL REVIEW, METHODOLOGICAL CHALLENGES AND FUTURE RESEARCH DIRECTIONS",English,15,0,0,2024,9
41,"ARTIFICIAL INTELLIGENCE IN CYBERSECURITY: EXAMINING LIABILITY, CRIME DYNAMICS, AND PREVENTIVE STRATEGIES",English,18,0,0,2024,18
42,CYBERSECURITY AND MEDICAL DEVICES: THE PROTECTION OF PATIENTS' HEALTH AND SAFETY FROM CYBER VULNERABILITIES IN REGULATION (EU) 2017/745 AND ARTIFICIAL INTELLIGENCE ACT,Italian,146,0,0,2024,34
43,Artificial Intelligence Solutions for Cybersecurity in Energy Systems,English,27,0,0,2024,6
44,The Influence of Artificial Intelligence on E-Governance and Cybersecurity in Smart Cities: A Stakeholder's Perspective,English,81,14,21,2023,15
45,"New Cybersecurity Requirements for Medical Devices in the EU: The Forthcoming European Health Data Space, Data Act, and Artificial Intelligence Act",English,32,13,13,2023,16
46,Knowledge-Enhanced Neurosymbolic Artificial Intelligence for Cybersecurity and Privacy,English,12,10,13,2023,6
47,A Survey of Artificial Intelligence-Related Cybersecurity Risks and Countermeasures in Mobility-as-a-Service,English,115,4,4,2024,19
48,"Emerging artificial intelligence applications: metaverse, IoT, cybersecurity, healthcare - an overview",English,93,10,13,2023,29
49,A Review of Techniques and Policies on Cybersecurity Using Artificial Intelligence and Reinforcement Learning Algorithms,English,41,7,8,2023,12
50,Cybersecurity considerations for radiology departments involved with artificial intelligence,English,36,8,10,2023,9
51,APPLICATION OF ARTIFICIAL INTELLIGENCE FOR IMPROVING SITUATIONAL TRAINING OF CYBERSECURITY SPECIALISTS,English,25,5,6,2023,12
52,Cybersecurity Education in the Age of Artificial Intelligence: A Novel Proactive and Collaborative Learning Paradigm,English,52,4,4,2024,10
53,Upcoming European Regulations on Artificial Intelligence and Cybersecurity,English,6,6,7,2023,5
54,Artificial Intelligence Techniques in Cybersecurity Management,English,46,1,2,2023,15
55,Detecting Cybersecurity Attacks in Internet of Things Using Artificial Intelligence Methods: A Systematic Literature Review,English,98,125,156,2022,27
56,Enhancing Cybersecurity With Artificial Immune Systems and General Intelligence: A New Frontier in Threat Detection and Response,English,61,1,2,2024,12
57,Artificial Intelligence in Cybersecurity: A Dual-Nature Technology,English,20,0,0,2023,7
58,Artificial Intelligence for next generation cybersecurity: The AI4CYBER framework,English,43,0,0,2023,17
59,The 3rd Workshop on Artificial Intelligence-Enabled Cybersecurity Analytics,English,4,0,0,2023,2
60,Unmasking Cybercrime with Artificial-Intelligence-Driven Cybersecurity Analytics,English,48,10,12,2023,21
61,Explainable Artificial Intelligence in CyberSecurity: A Survey,English,244,86,102,2022,26
62,"Artificial intelligence, digital transformation and cybersecurity in the banking sector: A multi-stakeholder cognition-driven framework",English,84,61,70,2022,15
63,Artificial Intelligence for Cybersecurity,English,7,4,5,2023,8
64,An Artificial Intelligence Framework for the Representation and Reuse of Cybersecurity Incident Resolution Knowledge,English,28,2,2,2023,10
65,Advancing the cybersecurity of the healthcare system with self-optimising and self-adaptative artificial intelligence (part 2),English,19,42,48,2022,7
66,Artificial Intelligence the Strategic Key of Cybersecurity,English,14,1,1,2023,8
67,"Artificial Intelligence and Machine Learning in Cybersecurity: Applications, Challenges, and Opportunities for MIS Academics",English,196,13,16,2022,32
68,Explainable Artificial Intelligence for Cybersecurity,English,25,30,34,2022,13
69,A Comprehensive Survey: Evaluating the Efficiency of Artificial Intelligence and Machine Learning Techniques on Cyber Security Solutions,English,180,47,58,2024,28
70,What Hinders Adoption of Artificial Intelligence for Cybersecurity in the Banking Sector,English,102,3,3,2024,16
71,Cybersecurity Education in the Age of Artificial Intelligence: A Novel Proactive and Collaborative Learning Paradigm,English,31,2,2,2022,5
72,Enhanced Artificial Intelligence-based Cybersecurity Intrusion Detection for Higher Education Institutions,English,22,2,5,2022,13
73,Artificial Intelligence for Cybersecurity in IoT-enabled Avionics: Challenges and Solutions,English,32,1,1,2022,8
74,Artificial Intelligence Techniques Based Learner Authentication in Cybersecurity Higher Education Institutions,English,22,1,5,2022,14
75,"Explainable AI for cybersecurity automation, intelligence and trustworthiness in digital twin: Methods, taxonomy, challenges and prospects",English,142,33,42,2024,24
76,Security risk models against attacks in smart grid using big data and artificial intelligence,English,112,16,20,2024,43
77,Harnessing Artificial Intelligence Capabilities to Improve Cybersecurity,English,179,88,122,2020,21
78,Enhancing Internet of Medical Things security with artificial intelligence: A comprehensive review,English,212,22,29,2024,21
79,Trailblazing the Artificial Intelligence for Cybersecurity Discipline: A Multi-Disciplinary Research Roadmap,English,45,43,51,2020,19
80,The impacts of artificial intelligence techniques in augmentation of cybersecurity: a comprehensive review,English,100,13,26,2022,18
81,Social media users and cybersecurity awareness: predicting self-disclosure using a hybrid artificial intelligence approach,English,90,12,15,2023,21
82,"Enhancing Cybersecurity via Artificial Intelligence: Risks, Rewards, and Frameworks",English,19,11,13,2021,8
83,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING APPROACHES FOR AVIATION CYBERSECURITY: AN OVERVIEW,English,12,10,12,2021,8
84,Artificial Intelligence-Based Cybersecurity for the Metaverse: Research Challenges and Opportunities,English,287,12,19,2025,45
85,A systematic review on the integration of explainable artificial intelligence in intrusion detection systems to enhancing transparency and interpretability in cybersecurity,English,29,8,9,2025,10
86,Artificial intelligence and machine learning in cybersecurity: a deep dive into state-of-the-art techniques and future paradigms,English,94,2,7,2025,87
87,CyberAIBot: Artificial Intelligence in an intrusion detection system for CyberSecurity in the IoT,English,45,4,6,2025,85
88,Artificial Intelligence for Cybersecurity: A Systematic Mapping of Literature,English,171,34,52,2020,15
89,"Artificial Intelligence and Cybersecurity: Past, Presence, and Future",English,51,23,27,2020,13
90,ACM KDD AI4Cyber: The 1st Workshop on Artificial Intelligence-enabled Cybersecurity Analytics,English,4,6,6,2021,2
91,Explainable artificial intelligence for cybersecurity: a literature survey,English,141,42,51,2022,24
92,Integrating Cybersecurity and Artificial Intelligence Research in Engineering and Computer Science Education,English,14,6,7,2021,7
93,Enhancing Cybersecurity Education with Artificial Intelligence Content,English,35,1,1,2025,7
94,Automotive Cybersecurity Scheme for Intrusion Detection in CAN-Driven Artificial Intelligence of Things,English,43,4,4,2025,17
95,Approaching the Current State of the Art of the Use of Artificial Intelligence in Cybersecurity,English,30,0,0,2025,10
96,Generative Artificial Intelligence and Machine Translators in Spanish Translation of Early Vulnerability Cybersecurity Alerts,English,64,0,0,2025,33
97,"Minitrack Introduction: Cybersecurity in the Age of Artificial Intelligence, AI for Cybersecurity, and Cybersecurity for AI",English,0,0,0,2025,2
98,Adoption of Artificial Intelligence in Cybersecurity for Organizations: Barriers and Roadmap,English,52,0,0,2025,13
99,A cybersecurity risk analysis framework for systems with artificial intelligence components,English,70,0,0,2025,28
100,Robustness and Cybersecurity in the EU Artificial Intelligence Act,English,113,0,0,2025,13
101,Cybersecurity and Compliance in Clinical Trials: The Role of Artificial Intelligence in Secure Healthcare Management,English,100,0,0,2025,20
102,A Hybrid Structural Equation Modeling-Artificial Intelligence Model for Enhancing Cybersecurity of Personal Information in Mobile Applications,English,41,0,0,2025,16
103,Utilisation of Artificial Intelligence and Cybersecurity Capabilities: A Symbiotic Relationship for Enhanced Security and Applicability,English,115,0,0,2025,32
104,A Novel Ensemble of Deep Learning Approach for Cybersecurity Intrusion Detection with Explainable Artificial Intelligence,English,38,0,0,2025,24
105,CYBERSECURITY IMPLICATIONS OF QUANTUM COMPUTING AND ITS COMBINED USE WITH ARTIFICIAL INTELLIGENCE,English,28,0,1,2025,17
106,The AIM-PRISM Framework: A Novel Strategic Model for Machine Learning and Artificial Intelligence Deployment in National Infrastructure Cybersecurity,English,56,0,0,2025,21
107,Artificial Intelligence in Maritime Cybersecurity: A Systematic Review of AI-Driven Threat Detection and Risk Mitigation Strategies,English,291,0,0,2025,34
108,Artificial intelligence-driven cybersecurity system for internet of things using self-attention deep learning and metaheuristic algorithms,English,47,0,0,2025,25
109,The Role of Artificial Intelligence in Boosting Cybersecurity and Trusted Embedded Systems Performance: A Systematic Review on Current and Future Trends,English,100,0,0,2025,19
110,Investigating the symbiotic relationship between artificial intelligence and blockchain to promote zero-trust cybersecurity in an evolving information ecosystem,English,74,0,0,2025,11
111,Towards artificial-intelligence-based cybersecurity for robustifying automated driving systems against camera sensor attacks,English,22,18,37,2020,6
112,Trusting artificial intelligence in cybersecurity is a double-edged sword,English,31,97,129,2019,4
113,"BANKING DEVELOPMENT PECULIARITIES: BLOCKCHAIN, ARTIFICIAL INTELLIGENCE (AI) AND CYBERSECURITY ISSUES",English,73,2,2,2025,337
114,Artificial intelligence-driven cybersecurity: enhancing malicious domain detection using attention-based deep learning model with optimization algorithms,English,40,0,0,2025,18
115,Cybersecurity for Analyzing Artificial Intelligence (AI)-Based Assistive Technology and Systems in Digital Health,English,77,0,0,2025,29
116,French community grid for the evaluation of radiological artificial intelligence solutions (DRIM France Artificial Intelligence Initiative),English,34,10,12,2024,8
117,Investigation of Phishing Susceptibility with Explainable Artificial Intelligence,English,54,10,11,2024,18
118,"A survey of new orientations in the field of vehicular cybersecurity, applying artificial intelligence based methods",English,48,5,7,2021,19
119,IEEE ACCESS SPECIAL SECTION EDITORIAL: ARTIFICIAL INTELLIGENCE IN CYBERSECURITY,English,0,4,5,2020,5
120,"The Future of Cybersecurity: Major Role of Artificial Intelligence, Machine Learning, and Deep Learning in Cyberspace",English,0,35,51,2019,9
121,Grand Challenge: Applying Artificial Intelligence and Machine Learning to Cybersecurity,English,13,26,37,2019,8
122,Artificial Intelligence Applications in Cybersecurity,English,18,1,4,2020,5
123,"Prototype Cross Platform Oriented on Cybersecurity, Virtual Connectivity, Big Data and Artificial Intelligence Control",English,65,4,6,2020,16
124,The Inadequacies of the Cybersecurity Information Sharing Act of 2015 in the Age of Artificial Intelligence,English,67,2,3,2020,33
125,Artificial Intelligence Presents New Challenges in Cybersecurity,English,13,0,2,2020,7
126,"Cybersecurity and its discontents: Artificial intelligence, the Internet of Things, and digital misinformation",English,27,31,40,2018,9
127,Applications of Artificial Intelligence Algorithms in the Energy Sector,English,131,32,42,2023,24
128,"Artificial Intelligence-Based Malware Detection, Analysis, and Mitigation",English,77,34,40,2023,24
129,ARTIFICIAL INTELLIGENCE AND SMART MANUFACTURING: AN ANALYSIS OF STRATEGIC AND PERFORMANCE NARRATIVES,English,46,4,6,2024,283
130,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING IN COMBATING ILLEGAL FINANCIAL OPERATIONS: BIBLIOMETRIC ANALYSIS,English,79,4,10,2024,243
131,"Artificial intelligence-driven advances in nuclear technology: Exploring innovations, applications, and future prospects",English,114,4,4,2025,15
132,UAV networks DoS attacks detection using artificial intelligence based on weighted machine learning,English,18,3,3,2024,8
133,Current Technologies and Trends in Cybersecurity and the Impact of Artificial Intelligence,English,22,2,3,2019,7
134,Harnessing AI and analytics to enhance cybersecurity and privacy for collective intelligence systems,English,46,3,4,2024,24
135,Unveiling Shadows: Harnessing Artificial Intelligence for Insider Threat Detection,English,39,2,9,2024,6
136,Artificial Intelligence Cyberattacks in Red Teaming: A Scoping Review,English,28,2,2,2024,10
137,Advances in artificial intelligence for detecting algorithmically generated domains: Current trends and future prospects,English,159,1,2,2024,28
138,Unleashing offensive artificial intelligence: Automated attack technique code generation,English,44,1,2,2024,15
139,"Polycentric governance, big data and artificial intelligence: Tools for citizen security in Colombia",Spanish,74,1,1,2024,16
140,Lights Toward Adversarial Machine Learning: The Achilles Heel of Artificial Intelligence,English,20,1,1,2024,5
141,The Rise of Artificial Intelligence: Industry Insights and Applications in Security Information and Event Management (SIEM),English,23,1,1,2024,6
142,Toward a trustworthy and inclusive data governance policy for the use of artificial intelligence in Africa,English,56,2,2,2024,14
143,"Challenges in Implementing Artificial Intelligence on the Raspberry Pi 4, 5 and 5 with AI HAT",English,12,1,1,2024,11
144,Secure Artificial Intelligence of Things (AIoT)-enabled authenticated key agreement technique for smart living environment,English,31,2,4,2024,15
145,Artificial Intelligence Communicates With Cognitive Dynamic System for Cybersecurity,English,37,10,11,2019,13
146,Applications of artificial intelligence in cyber security,English,16,0,0,2024,9
147,IMPACT OF CENTRALIZING DATABASES IN ECUADOR WITH ARTIFICIAL INTELLIGENCE-BASED CYBER SECURITY,Spanish,25,0,0,2024,11
148,Risks and Ethical Concerns in Cyber Security with Advancements of Artificial Intelligence - A Systematic Review,English,16,0,0,2024,5
149,Artificial Intelligence System Risk Management Methodology Based on Generalized Blueprints,English,43,0,0,2024,18
150,Some Ethical and Legal Implications of Artificial Intelligence,English,16,0,0,2024,8
151,Artificial intelligence and cybercrime: implications for individuals and the healthcare sector,English,5,0,0,2024,3
152,A Comprehensive Artificial Intelligence Vulnerability Taxonomy,English,18,0,0,2024,9
153,Analysis on the integration of artificial intelligence in the fight against cybercrime in Ecuador: Challenges and perspectives,Spanish,42,0,1,2024,18
154,A Comprehensive Review of Explainable Artificial Intelligence to Enhance Intrusion Detection in VANET Networks,English,24,0,0,2024,6
155,Android Malware Detection Using Artificial Intelligence,English,34,0,0,2024,15
156,AI Enabled Threat Detection: Leveraging Artificial Intelligence for Advanced Security and Cyber Threat Mitigation,English,48,3,4,2024,10
157,Autonomous Cyberattack with Security-augmented Generative Artificial Intelligence,English,19,0,0,2024,6
158,Explainable Artificial Intelligence Enabled Intrusion Detection in the Internet of Things,English,17,0,0,2024,12
159,Fortifying Industry 4.0: Internet of Things Security in Cloud Manufacturing through Artificial Intelligence and Provenance Blockchain-A Thematic Literature Review,English,57,0,0,2024,19
160,AISec '24: 17th ACM Workshop on Artificial Intelligence and Security,English,0,0,0,2024,2
161,"Multi-method Approach to Human Expertise, Automation, and Artificial Intelligence for Vulnerability Management Investigation of Challenges and Emerging Tensions",English,29,0,0,2024,13
162,Artificial Intelligence in Cybersecurity: The Use of AI Along the Cyber Kill Chain,English,28,9,12,2019,11
163,Multi-aspects AI-based modeling and adversarial learning for cybersecurity intelligence and robustness: A comprehensive overview,English,154,19,29,2023,26
164,Legal and Ethical Consideration in Artificial Intelligence in Healthcare: Who Takes Responsibility?,English,38,372,489,2022,6
165,Strengthening the Security of Smart Contracts through the Power of Artificial Intelligence,English,80,18,26,2023,18
166,Utilization of Artificial Intelligence for the SIEM Logging Architecture Design in the Context of Smart City,English,22,0,0,2024,14
167,"Dimensions of artificial intelligence techniques, blockchain, and cyber security in the Internet of medical things: Opportunities, challenges, and future directions",English,68,14,16,2023,18
168,Safe AI: Ensuring Safe and Responsible Artificial Intelligence,English,7,2,4,2023,4
169,Why Do Companies Employ Prohibited Unethical Artificial Intelligence Practices?,English,96,12,15,2024,10
170,The Impact of Artificial Intelligence on the Human Aspects of Information and Cybersecurity,English,41,0,1,2018,12
171,Combining Artificial Intelligence planning advantages to assist preliminary formal analysis on Industrial Control System cybersecurity vulnerabilities,English,33,0,0,2018,8
172,Artificial Intelligence-Based Ethical Hacking for Health Information Systems: Simulation Study,English,50,8,8,2023,16
173,AISec '23: 16th ACM Workshop on Artificial Intelligence and Security,English,0,0,0,2023,3
174,Implementing Privacy-Preserving and Collaborative Industrial Artificial Intelligence,English,37,4,4,2023,11
175,The Age of fighting machines: the use of cyber deception for Adversarial Artificial Intelligence in Cyber Defence,English,15,2,2,2023,14
176,Towards trustworthy Artificial Intelligence: Security risk assessment methodology for Artificial Intelligence systems,English,22,1,1,2023,7
177,Considerations for Using Artificial Intelligence to Manage Authorized Push Payment (APP) Scams,English,78,1,1,2023,14
178,Systematic Review on Safety of Artificial Intelligence and Transportation,English,26,1,1,2023,16
179,An Explainable Artificial Intelligence Approach for a Trustworthy Spam Detection,English,36,1,2,2023,8
180,Super-forecasting the 'technological singularity' risks from artificial intelligence,English,29,39,45,2022,11
181,Artificial Intelligence and Cyber Defense System for Banking Industry: A Qualitative Study of AI Applications and Challenges,English,52,23,38,2024,29
182,Artificial Intelligence Algorithms for Detecting and Classifying MQTT Protocol Internet of Things Attacks,English,49,14,16,2022,16
183,An Artificial Intelligence Approach for Deploying Zero Trust Architecture (ZTA),English,27,15,20,2022,8
184,Barriers to Artificial Intelligence implementation in radiology practice: What the Radiologist needs to know,Spanish,51,8,11,2022,9
185,Paradoxes of artificial intelligence in consumer markets: Ethical challenges and opportunities,English,93,185,234,2021,14
186,Machine Expertise in the Loop: Artificial Intelligence Decision-Making Inputs and Cyber Conflict,English,39,5,5,2022,20
187,A Streamlit-based Artificial Intelligence Trust Platform for Next-Generation Wireless Networks,English,15,4,5,2022,4
188,"Systematic Review for the Construction of an Architecture With Emerging IoT Technologies, Artificial Intelligence Techniques, Monitoring and Storage of Malicious Traffic",English,63,3,3,2022,7
189,CSAI-4-CPS: A Cyber Security characterization model based on Artificial Intelligence For Cyber Physical Systems,English,10,1,1,2022,2
190,Applied Artificial Intelligence: Risk Mitigation Matters,English,18,1,1,2022,14
191,Integrating Artificial Intelligence into Public Administration: Challenges and Vulnerabilities,English,70,3,4,2025,23
192,On the Need for Collaborative Intelligence in Cybersecurity,English,57,2,3,2022,17
193,Explainable artificial intelligence models in intrusion detection systems,English,277,4,5,2025,32
194,Cyber Attack Prediction: From Traditional Machine Learning to Generative Artificial Intelligence,English,245,3,3,2025,45
195,Explainable Artificial Intelligence for Resilient Security Applications in the Internet of Things,English,207,3,4,2025,30
196,Application of Artificial Intelligence in Wind Power Systems,English,95,3,4,2025,32
197,Generative AI revolution in cybersecurity: a comprehensive review of threat intelligence and operations,English,130,2,2,2025,39
198,Agentic Artificial Intelligence for Cyber Threat Management,English,22,1,1,2025,5
199,Artificial intelligence for system security assurance: A systematic literature review,English,199,1,3,2025,42
200,"Grid Modernization in the Age of Artificial Intelligence and Cloud: Synergies Between Grid Modernization, Artificial Intelligence, and Cloud",English,0,1,1,2025,15
201,Security Risk Modeling in Smart Grid Critical Infrastructures in the Era of Big Data and Artificial Intelligence,English,171,63,71,2021,19
202,Network Security and Analysis of the Use of Artificial Intelligence in Protection,English,23,0,0,2025,7
203,Brain-Computer Interactions in Extended Reality with Artificial Intelligence and Cloud Computing,English,23,0,0,2025,4
204,Artificial intelligence-assisted criminality,German,10,0,0,2025,3
205,Phishing Attacks in the Age of Generative Artificial Intelligence: A Systematic Review of Human Factors,English,118,0,0,2025,29
206,Emerging Trends and Applications of Cyber Security and Artificial Intelligence Tools in Detecting Food Frauds,English,76,0,0,2025,18
207,Machine learning and artificial intelligence techniques adopted for IT audit,English,63,0,0,2025,23
208,Exploring the Role of Artificial Intelligence in Detecting Advanced Persistent Threats,English,18,0,0,2025,32
209,Bibliometric analysis of artificial intelligence cyberattack detection models,English,66,0,0,2025,40
210,Lightweight and mobile artificial intelligence and immersive technologies in aviation,English,277,0,0,2025,32
211,Business Logic Vulnerabilities in the Digital Era: A Detection Framework Using Artificial Intelligence,English,54,0,0,2025,22
212,Artificial Intelligence in National Security: Strategic Priorities of Türkiye and the UAE,English,97,0,0,2025,25
213,Optimising AI models for intelligence extraction in the life cycle of Cybersecurity Threat Landscape generation,English,64,0,0,2025,14
214,Leveraging explainable artificial intelligence for early detection and mitigation of cyber threat in large-scale network environments,English,40,0,0,2025,24
215,Artificial Intelligence Applications in Military Systems and Their Influence on Sense of Security of Citizens,English,76,36,52,2021,19
216,Artificial Intelligence and the Internet of Things in Industry 4.0,English,37,36,38,2021,10
217,Opportunities and Challenges of Artificial Intelligence in Banking: Systematic Literature Review,English,20,17,36,2021,7
218,Governing AI in Electricity Systems: Reflections on the EU Artificial Intelligence Bill,English,67,16,23,2021,7
219,"Black boxes, not green: Mythologizing artificial intelligence and omitting the environment",English,38,68,84,2020,5
220,Artificial Intelligence in the Cyber Domain: Offense and Defense,English,78,49,60,2020,24
221,Black Box Attacks on Explainable Artificial Intelligence(XAI) methods in Cyber Security,English,37,62,69,2020,8
222,Combating Fake Cyber Threat Intelligence using Provenance in Cybersecurity Knowledge Graphs,English,37,10,10,2021,8
223,Artificial Intelligence for Industry 4.0 in Iberoamerica,English,65,4,5,2021,13
224,Weapons of mass disruption: artificial intelligence and international law,English,118,5,7,2021,23
225,"Human Factor & Artificial Intelligence: For future software security to be invincible, a confronting comprehensive survey",English,27,2,2,2021,7
226,"Cyber Resilience and Fault Tolerance of Artificial Intelligence Systems: EU Standards, Guidelines, and Reports",English,33,1,1,2020,10
227,Cryptocurrencies and Artificial Intelligence: Challenges and Opportunities,English,82,24,31,2020,19
228,Cybersecurity Threat Intelligence Augmentation and Embedding Improvement - A Healthcare Usecase,English,35,12,13,2020,6
229,AI (Artificial Intelligence) and Cybercrime balancing expectations with delivery,English,5,0,0,2020,2
230,INFINITY WAR FOR DIGITAL HUMAN RIGHTS: ARTIFICIAL INTELLIGENCE AS THANOS,English,3,0,0,2020,3
231,Advancing cybersecurity: a comprehensive review of AI-driven detection techniques,English,119,26,42,2024,38
232,Cybersecurity Planning for Artificial Intelligent Systems in Space,English,27,0,0,2019,8
233,Artificial Intelligence and Problems of Ensuring Cyber Security,English,51,21,27,2019,14
234,Explainable deep learning approach for advanced persistent threats (APTs) detection in cybersecurity: a review,English,79,15,18,2024,47
235,Providing Cyber Security using Artificial Intelligence - A survey,English,10,16,18,2019,4
236,Do people believe in Artificial Intelligence? A cross-topic multicultural study,English,20,7,9,2019,6
237,Digital Transformation and Cybersecurity Challenges for Businesses Resilience: Issues and Recommendations,English,95,69,94,2023,20
238,Employing Deep Reinforcement Learning to Cyber-Attack Simulation for Enhancing Cybersecurity,English,55,10,12,2024,19
239,Cybersecurity of Autonomous Vehicles: A Systematic Literature Review of Adversarial Attacks and Defense Models,English,248,48,54,2023,21
240,Black-box adversarial transferability: An empirical study in cybersecurity perspective,English,50,6,7,2024,16
241,An Ontology-Based Cybersecurity Framework for AI-Enabled Systems and Applications,English,32,6,7,2024,23
242,"Autonomous Cybersecurity: Evolving Challenges, Emerging Opportunities, and Future Research Trajectories",English,40,6,7,2024,10
243,An Efficient CNN-Based Intrusion Detection System for IoT: Use Case Towards Cybersecurity,English,48,7,7,2024,21
244,Digitalisation and Cybersecurity: Towards an Operational Framework,English,75,7,7,2024,35
245,A deep dive into cybersecurity solutions for AI-driven IoT-enabled smart cities in advanced communication networks,English,178,8,11,2025,27
246,Investigating ChatGPT and cybersecurity: A perspective on topic modeling and sentiment analysis,English,47,33,39,2023,10
247,Regulatory Approaches Towards AI-Based Medical Device Cybersecurity: A Transatlantic Perspective,English,48,5,5,2024,11
248,Empowering Professionals: A Generative AI Approach to Personalized Cybersecurity Learning,English,37,5,6,2024,10
249,Cybersecurity for Industry 5.0: trends and gaps,English,52,4,5,2024,11
250,Adversarial attack defense analysis: An empirical approach in cybersecurity perspective,English,27,4,7,2024,5
251,Deep learning for cybersecurity in smart grids: Review and perspectives,English,121,27,31,2023,19
252,MetaCluster: A Universal Interpretable Classification Framework for Cybersecurity,English,68,3,3,2024,15
253,HackMentor: Fine-Tuning Large Language Models for Cybersecurity,English,35,3,3,2024,10
254,"The implications of cardiac device cybersecurity responsibilities and challenges faced by policymakers, manufacturers, and patients",English,25,2,2,2024,5
255,Legal implications for clinicians in cybersecurity incidents: A review,English,68,2,3,2024,26
